region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,6,20,21.4764,8.03038,4.31789,1.0502,2.85412,8.2577,41.0044,0,0,0,0,0,0,
sflor,6,20,2.54518,1.00839,1.02072,1.24465,1.29487,2.28478,5.84424,0,0,0,0,0,0,
wash,6,20,1.00598,1.00512,1.00312,1.00722,1.00692,1.00694,1.01283,0,0,0,0,0,0,
nyc,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
