region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,10,1.0054,1.005,1.0061,1.014,1.0091,1.0146,0,0,0,0,0,0,0,
sflor,5,10,1.0089,1.019,1.0244,1.0157,1.019,1.0321,0,0,0,0,0,0,0,
wash,5,10,1.0085,1.003,1.0084,1.0111,1.0034,1.0138,0,0,0,0,0,0,0,
nyc,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
