region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,10,1.0043,1.0029,1.0033,1.01,1.0064,1.0155,0,0,0,0,0,0,0,
sflor,5,10,1.0135,1.0116,1.004,1.0063,1.0141,1.0156,0,0,0,0,0,0,0,
wash,5,10,1.0028,1.0022,1.0024,1.0024,1.0016,1.0039,0,0,0,0,0,0,0,
nyc,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
