region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain
nyc,5,6,1.0509,1.0294,1.091,1.0142,1.0714,0,0,0,0,0,0,0,1.1038
sflor,5,6,1.0836,1.0008,1.06,1.0961,1.1024,0,0,0,0,0,0,0,1.112
wash,5,6,1.0071,1.0013,1.0074,1.0051,1.004,0,0,0,0,0,0,0,1.0177
nyc,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
sflor,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
nyc,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
sflor,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
nyc,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
sflor,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
nyc,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
sflor,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
