region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,10,1.032,1.0687,1.0429,1.5963,1.4832,1.7504,0,0,0,0,0,0,0,
sflor,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
