region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,6,20,23.6864,7.25512,5.82667,1.0515,3.72612,7.94411,46.1403,0,0,0,0,0,0,
sflor,6,20,3.67123,1.00949,1.03052,1.25539,1.29771,6.38515,8.44466,0,0,0,0,0,0,
wash,6,20,1.00619,1.00317,1.00387,1.00258,1.00233,1.00576,1.00814,0,0,0,0,0,0,
nyc,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
